experiment,member,policy,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_fraction,mean_reward,std_reward
1,Member1,CnnPolicy,0.00025,0.99,32,1.0,0.1,0.1,0.6666666865348816,0.4714045226573944
2,Member1,CnnPolicy,0.0001,0.99,32,1.0,0.1,0.1,0.6666666865348816,0.4714045226573944
3,Member1,CnnPolicy,0.0005,0.99,32,1.0,0.1,0.1,1.6666666269302368,0.471404492855072
4,Member1,CnnPolicy,0.0001,0.95,32,1.0,0.1,0.1,0.3333333432674408,0.471404492855072
5,Member1,CnnPolicy,0.0001,0.999,32,1.0,0.1,0.1,0.6666666865348816,0.942808985710144
6,Member1,CnnPolicy,0.0001,0.99,64,1.0,0.1,0.1,0.0,0.0
7,Member1,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.1,1.6666666269302368,1.6996732950210571
8,Member1,CnnPolicy,0.0001,0.99,32,1.0,0.1,0.2,0.3333333432674408,0.471404492855072
9,Member1,CnnPolicy,0.0001,0.99,32,1.0,0.02,0.25,0.6666666865348816,0.942808985710144
10,Member1,CnnPolicy,5e-05,0.995,64,1.0,0.05,0.15,0.3333333432674408,0.471404492855072
1,Member2,CnnPolicy,0.0003,0.99,32,1.0,0.1,0.1,2.3333332538604736,1.247219204902649
2,Member2,CnnPolicy,0.0003,0.99,32,1.0,0.01,0.1,0.6666666865348816,0.4714045226573944
3,Member2,CnnPolicy,0.0003,0.99,32,0.5,0.1,0.1,1.3333333730697632,1.2472190856933594
4,Member2,CnnPolicy,0.0003,0.99,32,1.0,0.1,0.3,2.0,1.632993221282959
5,Member2,CnnPolicy,0.0003,0.99,32,1.0,0.1,0.05,3.0,0.8164966106414795
6,Member2,CnnPolicy,0.0003,0.99,128,1.0,0.1,0.1,2.6666667461395264,1.247219204902649
7,Member2,CnnPolicy,0.0003,0.99,16,1.0,0.1,0.1,0.6666666865348816,0.942808985710144
8,Member2,CnnPolicy,0.0003,0.98,32,1.0,0.1,0.1,1.0,0.8164966106414795
9,Member2,CnnPolicy,0.0003,0.995,32,1.0,0.1,0.1,1.3333333730697632,0.471404492855072
10,Member2,CnnPolicy,0.0002,0.99,64,1.0,0.05,0.15,2.3333332538604736,1.247219204902649
1,Member3,MlpPolicy,0.0001,0.99,32,1.0,0.1,0.1,2.0,0.0
2,Member3,MlpPolicy,0.0005,0.99,32,1.0,0.1,0.1,0.0,0.0
3,Member3,MlpPolicy,0.001,0.99,32,1.0,0.1,0.1,0.0,0.0
4,Member3,MlpPolicy,0.0001,0.99,64,1.0,0.1,0.1,1.3333333730697632,0.9428090453147888
5,Member3,MlpPolicy,0.0001,0.99,128,1.0,0.1,0.1,0.0,0.0
6,Member3,MlpPolicy,0.0001,0.95,32,1.0,0.1,0.1,1.6666666269302368,2.357022762298584
7,Member3,MlpPolicy,0.0001,0.999,32,1.0,0.1,0.1,0.0,0.0
8,Member3,MlpPolicy,0.0001,0.99,32,1.0,0.01,0.3,0.0,0.0
9,Member3,MlpPolicy,0.0001,0.99,32,1.0,0.2,0.05,0.0,0.0
10,Member3,MlpPolicy,0.00025,0.995,64,1.0,0.05,0.15,0.0,0.0
