timesteps,reward,episode_length
40,0.0,5
40,0.0,5
40,0.0,5
80,0.0,5
80,0.0,5
120,0.0,5
120,0.0,5
128,1.0,16
128,1.0,16
128,1.0,16
136,1.0,17
152,0.0,3
160,0.0,5
160,0.0,5
168,0.0,5
168,0.0,5
176,0.0,5
200,0.0,5
208,0.0,5
208,0.0,5
216,0.0,5
232,0.0,3
240,0.0,5
256,0.0,3
256,0.0,5
288,1.0,17
296,0.0,5
296,0.0,5
296,1.0,17
312,0.0,3
320,0.0,3
320,1.0,14
328,3.0,41
336,0.0,5
336,0.0,5
336,0.0,3
368,0.0,5
368,4.0,41
376,0.0,5
376,0.0,5
376,0.0,5
408,0.0,5
408,0.0,5
416,0.0,5
416,0.0,5
448,1.0,16
448,0.0,5
456,1.0,17
456,0.0,5
488,0.0,5
488,1.0,14
496,0.0,5
496,0.0,5
512,0.0,3
528,3.0,36
536,0.0,5
536,0.0,5
544,1.0,12
544,1.0,17
552,0.0,3
552,0.0,5
576,0.0,5
576,0.0,5
584,0.0,5
592,0.0,5
608,1.0,15
616,0.0,3
616,0.0,5
616,0.0,5
624,0.0,5
648,0.0,5
648,2.0,29
656,0.0,5
656,0.0,5
664,0.0,5
672,0.0,3
672,1.0,15
680,1.0,17
688,0.0,3
696,0.0,5
696,1.0,10
712,0.0,5
720,0.0,5
728,0.0,5
744,1.0,12
752,0.0,5
784,0.0,5
800,1.0,16
808,1.0,14
824,0.0,5
824,0.0,3
840,2.0,23
848,0.0,5
848,1.0,16
856,1.0,16
880,0.0,5
880,1.0,16
888,0.0,5
912,0.0,3
920,0.0,5
920,1.0,12
920,2.0,28
920,0.0,5
952,1.0,12
960,0.0,5
960,0.0,5
960,0.0,5
968,1.0,15
992,2.0,21
992,0.0,5
1000,0.0,5
1000,0.0,5
1008,0.0,5
1032,0.0,5
1040,0.0,5
1048,0.0,5
1048,1.0,17
1072,0.0,5
1080,1.0,15
1088,0.0,5
1088,0.0,5
1096,1.0,12
1120,0.0,5
1120,0.0,3
1128,0.0,5
1152,2.0,29
1152,1.0,14
1160,0.0,5
1160,0.0,5
1160,2.0,21
1168,1.0,12
1168,0.0,5
1192,0.0,5
1200,0.0,5
1200,0.0,5
1200,0.0,5
1200,1.0,14
1208,0.0,5
1208,0.0,5
1232,0.0,5
1240,0.0,5
1240,0.0,5
1248,0.0,5
1248,1.0,12
1256,0.0,3
