experiment,member,policy,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_fraction,mean_reward,std_reward
1,Member1,CnnPolicy,0.00025,0.99,32,1.0,0.1,0.1,0.6666666865348816,0.4714045226573944
2,Member1,CnnPolicy,0.0001,0.99,32,1.0,0.1,0.1,0.6666666865348816,0.4714045226573944
3,Member1,CnnPolicy,0.0005,0.99,32,1.0,0.1,0.1,1.6666666269302368,0.471404492855072
4,Member1,CnnPolicy,0.0001,0.95,32,1.0,0.1,0.1,0.3333333432674408,0.471404492855072
5,Member1,CnnPolicy,0.0001,0.999,32,1.0,0.1,0.1,0.6666666865348816,0.942808985710144
6,Member1,CnnPolicy,0.0001,0.99,64,1.0,0.1,0.1,0.0,0.0
7,Member1,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.1,1.6666666269302368,1.6996732950210571
8,Member1,CnnPolicy,0.0001,0.99,32,1.0,0.1,0.2,0.3333333432674408,0.471404492855072
9,Member1,CnnPolicy,0.0001,0.99,32,1.0,0.02,0.25,0.6666666865348816,0.942808985710144
10,Member1,CnnPolicy,5e-05,0.995,64,1.0,0.05,0.15,0.3333333432674408,0.471404492855072
